name,abbr
US DOD Armed Forces,AA
US DOD Armed Forces,AE
Alabama,AL
Alaska,AK
US DOD Armed Forces,AP
American Samoa,AS
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
District of Columbia,DC
Florida,FL
Federated States of Micronesia,FM
Georgia,GA
Guam,GU
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Marshall Islands,MH
Northern Mariana Islands,MP
Montana,MT
Nebraska,NE
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Pennsylvania,PA
Puerto Rico,PR
Palau,PW
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Virgin Islands,VI
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
